Курица,Молоко,Сыр,Кофе,,,
Макароны,Сыр,Молоко,,,,
Печенье,Яйцо,Кофе,Макароны,Курица,Колбаса,Конфеты
Колбаса,Кофе,Макароны,Яйцо,Курица,,
Печенье,Молоко,Кофе,,,,
Молоко,Яйцо,Печенье,Сыр,,,
Курица,Сыр,,,,,
Макароны,Конфеты,Молоко,Колбаса,Печенье,,
Молоко,Хлеб,Яйцо,Сыр,,,
Молоко,Яйцо,Курица,Сыр,,,
Макароны,Яйцо,Хлеб,Кофе,,,
Колбаса,Сыр,Конфеты,Макароны,Печенье,Курица,
Молоко,Хлеб,Печенье,Яйцо,,,
Курица,Хлеб,Конфеты,Печенье,Кофе,Молоко,
Колбаса,Конфеты,,,,,
Хлеб,Молоко,Курица,Яйцо,Колбаса,,
Макароны,Конфеты,Печенье,,,,
Кофе,Макароны,Сыр,Курица,Колбаса,,
Печенье,Яйцо,Макароны,Конфеты,Колбаса,Сыр,Курица
Яйцо,Печенье,Молоко,Макароны,Конфеты,,
Курица,Сыр,Хлеб,Колбаса,Конфеты,,
Хлеб,Печенье,Макароны,Сыр,Колбаса,Курица,Конфеты
Курица,Молоко,Конфеты,Кофе,Колбаса,Яйцо,Печенье
Сыр,Макароны,Печенье,Молоко,Конфеты,Яйцо,Хлеб
Кофе,Сыр,Конфеты,Печенье,,,
Курица,Молоко,Макароны,Печенье,Кофе,Хлеб,Конфеты
Яйцо,Сыр,Конфеты,Колбаса,,,
Курица,Кофе,Макароны,Сыр,Яйцо,Хлеб,
Молоко,Хлеб,Кофе,Печенье,,,
Молоко,Яйцо,Колбаса,Макароны,Конфеты,Печенье,
